survey,stationName,surveyDate,surveyStartTime,surveyEndTime,dataRecorder,latDD,longDD,airTemp,weather,cloudCover,seaState,profiler,otherProfilerType,profilerMethod,bottleMethod,depthProfiler,depthFinder,secchi,exoProfileNumber,notes,tideStage,OASamples,OAFilteredSfc,OAFilteredBtm,OADupSampleName,OAblankSampleName,OANotes,allSamplesList,minDO_station,sampleName,sampleDepth,depthCode,sampleTime,waterTemp,salinity,dissolvedOxygen,pH,chlA,fDOM,turbidity,mV_pH,cablePower,otherParameters,surveySampleName,generalPlanktonNotes,revolStartA,revolStartB,revolStartD,revolEndA,revolEndB,revolEndD,totalRevA,totalRevB,totalRevD,volTowNetA,volTowNetB,bottle1Depth,bottle2Depth,bottle3Depth,bottle4Depth,bottle5Depth,bottle6Depth,bottle7Depth,bottle8Depth,bottle9Depth,bottle10Depth,compositeVolume,compositeSamplesCollected,compositeSampleOthers,volMesoNetA,ctenophorePercentA,scyphozoaPercentA,othersFamilyPercentA,mnemiopsisPercentA,pleurobrachiaPercentA,aureliaPercentA,cyaneaPercentA,chrysaoraPercentA,otherGeneraPercentA,volMesoNetB,ctenophorePercentB,scyphozoaPercentB,otherFamilyPercentB,mnemiopsisPercentB,pleurobrachiaPercentB,aureliaPercentB,cyaneaPercentB,chrysaoraPercentB,otherGeneraPercentB,gelatinousFormsNotes,senjiSamples,senjiLugolsSfc,senjiLugolsBtm,phytoplanktonNotes,SourceFile,regSampleName,ActivityCommentText,surveyPlankStation,S123_x,S123_y,editor,editorDate,ESRIsurveyStart,ESRIsurveyEnd,s123FormIssues
WQFEB25,C2,1/30/2025,13:35:00,13:47:00,KAO,40.983666666666664,-73.50133333,NA,01,75,2,EXO 1313,NA,R,R,32.8,33.3,1.3,133322,Altabet: 11/12,1,NA,NA,NA,NA,NA,NA,"C2B, C2S, C2SS",11.44,C2B,28.4,B,13:40,2.17,28.55,11.44,8.06,8.25,2.12,5.2,NA,NA,NA,WQFEB25_C2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_WQFEB25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQJAN25,M3,1/6/2025,11:58:00,12:13:00,KAO,41.23766666666667,-72.05333333,NA,02,100,2,EXO 1314,NA,R,R,42,68.8,3.1,115841,Altabet: 3/4,1,NA,NA,NA,NA,NA,NA,"M3B, M3S, BLANK C, M3S-DUP",9.62,M3S,2,S,12:10:00,6.33,30.55,9.8,7.8,0.43,1.5,NA,NA,NA,NA,WQJAN25_M3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_WQJAN25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,C2,8/11/2025,10:24:00,10:35:00,KAO,40.98416666666667,-73.50216667,25.8,00,0,2,EXO 1313,NA,R,R,31.9,31.3,1.8,102411,Altabet: 3/4,3,NA,NA,NA,NA,NA,NA,"C2NB, C2B, C2S, C2SS",3.69,C2SS,0.5,SS,10:34,23.67,26.93,7.32,7.83,2,1.75,1.14,NA,NA,NA,HYAUG25_C2SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,03,8/11/2025,10:51:00,10:59:00,KAO,40.98133333333333,-73.56,26.7,00,0,3,EXO 1313,NA,R,R,23.1,23.3,1.7,105103,NA,3,NA,NA,NA,NA,NA,NA,"03NB, 03S",3.75,03NB,22,NB,10:55,21.32,27.29,3.75,7.47,0.59,1.86,10.37,NA,NA,NA,HYAUG25_03NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,03,8/11/2025,10:51:00,10:59:00,KAO,40.98133333333333,-73.56,26.7,00,0,3,EXO 1313,NA,R,R,23.1,23.3,1.7,105103,NA,3,NA,NA,NA,NA,NA,NA,"03NB, 03S",3.75,03S,2,S,10:57,24.01,26.92,7.1,7.82,3.3,1.85,1.3,NA,NA,NA,HYAUG25_03S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,01,8/11/2025,11:17:00,11:24:00,KAO,40.963166666666666,-73.62316667,27.4,00,0,2,EXO 1313,NA,R,R,15.9,15.1,1.5,111730,NA,3,NA,NA,NA,NA,NA,NA,"01NB, 01S",3.4,01NB,14.9,NB,11:20,21.49,27.17,3.4,7.42,0.78,1.94,9.56,NA,NA,NA,HYAUG25_01NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,01,8/11/2025,11:17:00,11:24:00,KAO,40.963166666666666,-73.62316667,27.4,00,0,2,EXO 1313,NA,R,R,15.9,15.1,1.5,111730,NA,3,NA,NA,NA,NA,NA,NA,"01NB, 01S",3.4,01S,2,S,11:22,23.95,26.77,6.9,7.78,4.36,1.93,1.59,NA,NA,NA,HYAUG25_01S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,B3,8/11/2025,11:42:00,11:52:00,KAO,40.918166666666664,-73.64283333,18.2,00,0,2,EXO 1313,NA,R,R,19.1,18.1,1.1,114153,"Altabet: 5/6, #1",3,NA,NA,NA,NA,NA,NA,"B3NB, B3B, B3S, B3SS",3.05,B3NB,18,NB,11:46,21.88,26.88,3.05,7.38,1.08,2.15,8.57,NA,NA,NA,HYAUG25_B3NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQFEB25,B3,1/30/2025,12:09:00,12:27:00,KAO,40.91833333333334,-73.64233333,NA,00,0,2,EXO 1313,NA,R,R,19.3,19.4,1.2,120855,"Altabet: 7/8, #2",1,NA,NA,NA,NA,NA,NA,"B3B, B3S, B3SS",11.99,B3B,14.5,B,12:16,1.95,28.45,11.99,8.16,9.54,2.16,5.08,NA,NA,NA,WQFEB25_B3B,Flowmeters A& B likely frozen,70468.3,11220.8,20263.5,70498.3,11292.3,20655.1,30,71.5,391.59999999999854,379.3,903.9,14.6,10.3,6.3,2,NA,NA,NA,NA,NA,NA,20,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B,S",Y,Y,NA,FDS_WQFEB25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQJAN25,K2,1/6/2025,10:29:00,10:50:00,KAO,41.234,-72.2655,NA,02,100,2,EXO 1314,NA,R,R,37.2,37.4,1.7,102904,"Altabet: 1/2 #1
Lost live feed on upcast",3,"S,B",Y,Y,NA,NA,NA,"K2B, K2S",9.63,K2S,1.9,S,10:41:00,5.908,28.92,9.97,7.81,1.8,2.03,0.07,NA,NA,NA,WQJAN25_K2S,"Lost the live feed on the upcast, depths approximate",69400,10199.2,19198.5,69877.7,10637.8,19756.2,477.6999999999971,438.59999999999854,557.7000000000007,6039.1,5544.8,30.7,24.7,18.7,12.7,6.7,2,NA,NA,NA,NA,30,"wholeWater,64micron,other",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S,B",Y,Y,NA,FDS_WQJAN25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,B3,8/11/2025,11:42:00,11:52:00,KAO,40.918166666666664,-73.64283333,18.2,00,0,2,EXO 1313,NA,R,R,19.1,18.1,1.1,114153,"Altabet: 5/6, #1",3,NA,NA,NA,NA,NA,NA,"B3NB, B3B, B3S, B3SS",3.05,B3SS,0.5,SS,11:50,24.03,26.44,8.11,7.93,3.51,2.21,1.3,NA,NA,NA,HYAUG25_B3SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,A4,8/11/2025,12:23:00,12:35:00,KAO,40.87233333333333,-73.73383333,29.5,00,0,2,EXO 1313,NA,R,R,35.3,35.8,1.2,122949,"Altabet: 7/8, #2",3,NA,NA,NA,NA,NA,NA,"A4NB, A4B, A4S, A4SS, BLANK A, A4S-DUP",3.42,A4NB,34.1,NB,12:29,22.57,26.52,3.42,7.42,1.43,2.32,8.46,NA,NA,NA,HYAUG25_A4NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQFEB25,A4,1/30/2025,11:18:00,11:31:00,KAO,40.872,-73.73533333,NA,00,0,2,EXO 1313,NA,R,R,35.2,28.9,1.1,111643,"Altabet: 5/6 #1

Rosette tripped weirdly. 
SOG 1.2 kts, drifted quite a bit shallower",4,"S,B",Y,Y,NA,NA,NA,"A4B, A4S, A4SS, A4, BLANK A, A4S-DUP",12.42,A4B,23.8,B,11:23,1.62,28.17,12.42,8.25,20.65,2.33,6.34,NA,NA,NA,WQFEB25_A4B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S,B",Y,Y,NA,FDS_WQFEB25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQJAN25,H2,1/13/2025,10:28:00,10:39:00,KAO,41.179833333333335,-72.95866667,NA,02,100,3,EXO 1314,NA,R,R,15.8,15.6,2,102819,"Altabet: 9/10
",4,NA,NA,NA,NA,NA,NA,"H2B, H2S",10.8,H2S,2,S,10:37:00,3.61,28.39,10.85,7.83,0.91,1.9,0.91,NA,NA,NA,WQJAN25_H2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_WQJAN25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,A4,8/11/2025,12:23:00,12:35:00,KAO,40.87233333333333,-73.73383333,29.5,00,0,2,EXO 1313,NA,R,R,35.3,35.8,1.2,122949,"Altabet: 7/8, #2",3,NA,NA,NA,NA,NA,NA,"A4NB, A4B, A4S, A4SS, BLANK A, A4S-DUP",3.42,A4SS,0.5,SS,12:33,23.97,26.11,8.09,7.89,7.06,2.54,2.55,NA,NA,NA,HYAUG25_A4SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,02,8/11/2025,14:09:00,14:16:00,KAO,40.93516666666667,-73.60216667,31.5,00,0,1,EXO 1313,NA,R,R,17.2,16.3,1.5,140920,NA,1,NA,NA,NA,NA,NA,NA,"02NB, 02S",3.07,02NB,15.9,NB,14:12,21.68,26.67,3.07,7.41,0.78,2.07,6.48,NA,NA,NA,HYAUG25_02NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,02,8/11/2025,14:09:00,14:16:00,KAO,40.93516666666667,-73.60216667,31.5,00,0,1,EXO 1313,NA,R,R,17.2,16.3,1.5,140920,NA,1,NA,NA,NA,NA,NA,NA,"02NB, 02S",3.07,02S,2,S,14:14,24.35,26.64,7.67,7.94,3.47,1.89,1.74,NA,NA,NA,HYAUG25_02S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,C1,8/11/2025,14:25:00,14:35:00,KAO,40.955333333333336,-73.5805,32.3,00,0,1,EXO 1313,NA,R,R,20.5,19.6,1.8,142538,Altabet: 9/10,1,NA,NA,NA,NA,NA,NA,"C1NB, C1B, C1S",3.38,C1NB,19.1,NB,14:30,21.44,27.18,3.38,7.45,0.7,1.97,7.63,NA,NA,NA,HYAUG25_C1NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQFEB25,C1,1/30/2025,12:58:00,13:06:00,KAO,40.95516666666666,-73.57683333,NA,01,50,2,EXO 1313,NA,R,R,20.1,20.3,1.2,125548,Altabet: 9/10,1,"S,B",Y,Y,C1S-DUP,NA,NA,"C1B, C1S, C1SS",11.77,C1B,15.6,B,13:00,2.1,28.5,11.77,8.12,9.81,2.13,5.47,NA,NA,NA,WQFEB25_C1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B,S",Y,Y,NA,FDS_WQFEB25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQJAN25,I2,1/13/2025,8:13:00,8:33:00,KAO,41.13816666666666,-72.65466667,NA,00,0,2,EXO 1314,NA,R,R,28.1,28.4,2.2,081309,"Altabet: 7/8, #2",3,"S,B",Y,Y,NA,NA,NA,"I2B, I2S",10.48,I2S,2,S,8:23:00,4.15,28.84,10.66,7.81,0.67,1.75,0.25,NA,NA,NA,WQJAN25_I2S,NA,69877.5,10637.9,19757,70466.4,11220.4,20264.4,588.8999999999942,582.5,507.40000000000146,7444.9,7364,24.3,19.6,14.6,9.6,5.6,2,NA,NA,NA,NA,30,"wholeWater,64micron",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S,B",Y,Y,NA,FDS_WQJAN25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,04,8/11/2025,14:53:00,15:00:00,KAO,40.93816666666667,-73.52083333,32.6,00,0,1,EXO 1313,NA,R,R,13.5,12.8,1.9,145310,NA,1,NA,NA,NA,NA,NA,NA,"04NB, 04S, 04SS",4.52,04NB,12.5,NB,14:56,22.06,27.09,4.52,7.53,1.01,1.92,4.67,NA,NA,NA,HYAUG25_04NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
